Function,Calls,Total,Average
Buttons::CheckClick,2,0.00000000,0.00000000
Buttons::Clicked,2334,15.0000000,0.00642673532
Buttons::Create,1,164.000000,164.000000
Buttons::CreateButtonSet,6,161.000000,26.8333340
Buttons::Render,2334,1498.00000,0.641816616
Buttons::RenderButton,378,160.000000,0.423280418
GFX::GetCachedFontHeight,2,0.00000000,0.00000000
GFX::GetCachedFontWidth,43992,86.0000000,0.00195490080
GFX::GetFontFromIndex,96348,101.000000,0.00104828330
GFX::UIScanLines,2879,186.000000,0.0646057650
GameData::Common,1,3645.00000,3645.00000
GameData::LoadGD,1,11.0000000,11.0000000
GameData::LoadPlanetsStarsAsteroids,1,2347.00000,2347.00000
GameData::RenderStatus,54,421.000000,7.79629612
